Date,Close,High,Low,Open,Volume
6/14/2001,16.01326561,16.2484407,15.92774758,16.03464563,4808100
6/15/2001,15.32378197,15.97051242,15.19015987,15.68188922,11853500
6/18/2001,15.2329216,15.25964562,15.04050542,15.19016256,5075800
6/19/2001,15.07257366,15.39326589,14.95498556,15.23291978,4407300
6/20/2001,15.0832634,15.23826553,14.85877821,14.96567631,3903200
6/21/2001,15.30774307,15.31843308,14.96567092,14.96567092,3504300
6/22/2001,15.02981281,15.19550392,14.86412069,15.1794689,4046300
6/25/2001,14.85877609,15.06722725,14.78394805,14.94963916,3658300
6/26/2001,14.71981335,14.95498755,14.43118908,14.94429753,9066300
6/27/2001,14.70378017,14.8320573,14.51136397,14.65567612,2946800
6/28/2001,14.79464149,14.96033264,14.71446843,14.73050243,2710400
6/29/2001,14.46325874,14.85343613,14.43118972,14.85343613,14439500
7/2/2001,14.64498234,14.71981141,14.53808527,14.53808527,3917800
7/3/2001,14.55946255,14.74653367,14.38842644,14.74118867,1709900
7/5/2001,14.46325874,14.63963991,14.44722474,14.60222588,2010900
7/6/2001,14.19066429,14.46325345,13.92342014,14.44721946,5248900
7/9/2001,14.20135593,14.28152899,14.05704383,14.17997693,2696000
7/10/2001,14.377738,14.60222317,14.2441159,14.35635899,5415900
7/11/2001,14.23876572,14.45256182,13.99824663,14.00359164,5751000
7/12/2001,14.43118191,14.55411395,14.00359174,14.23342082,3423200
7/13/2001,14.77860165,14.79998167,14.34032139,14.34032139,4014100
7/16/2001,14.76790905,14.90687611,14.59152798,14.59152798,3607200
7/17/2001,14.81602764,14.90689077,14.60223235,14.75188956,2664800
7/18/2001,14.80532551,14.90153254,14.73584146,14.80532551,3068500
7/19/2001,14.78928947,14.93360154,14.70377144,14.90153151,3008600
7/20/2001,14.70911407,14.8320461,14.67170007,14.69842407,2961600
7/23/2001,14.84274387,15.32912826,14.79998484,14.94964095,6509700
7/24/2001,15.17412663,15.28102472,14.96033145,15.09395356,8264900
7/25/2001,15.66050625,15.7353353,15.20619202,15.24895105,7503800
7/26/2001,15.46274948,15.55361255,15.34516138,15.48412849,3571200
7/27/2001,15.30774307,15.45740015,15.28636407,15.3398131,2585100
7/30/2001,15.44671345,15.5268865,15.2061943,15.28636735,2095400
